Entity,Code,Year,Unsafe water source (deaths),Poor sanitation (deaths),No access to handwashing facility (deaths),Household air pollution (deaths),Outdoor air pollution (deaths),Non-exclusive breastfeeding (deaths),Discontinued breastfeeding (deaths),Child wasting (deaths),Child stunting (deaths),Low birth weight (deaths),Secondhand smoke (deaths),Alcohol use (deaths),Drug use (deaths),Diet low in fruits (deaths),Diet low in vegetables (deaths),Unsafe sex (deaths),Low physical activity (deaths),High blood sugar (deaths),High cholesterol (deaths),High body-mass index (obesity) (deaths),High blood pressure (deaths),Smoking (deaths),Iron deficiency (deaths),Zinc deficiency (deaths),Vitamin-A deficiency (deaths),Low bone mineral density (deaths)
Oman,OMN,2010,10.14164379,2.349232573,19.00983007,49.05667403,731.0982053,4.451187832,0.116973873,30.15538621,3.196524608,136.0316247,212.4717412,62.38369235,41.94181556,47.41111969,252.2062409,27.03441825,323.1897546,2050.242407,1149.013868,1554.548162,2102.505015,411.8166266,3.765414378,0.520426973,0.13501844,86.19610289
Oman,OMN,2016,10.63530835,2.726255222,19.21061121,25.20629336,1193.114661,4.063527521,0.108448499,26.7247374,2.507303394,138.5905728,255.8354142,113.9081205,88.35713918,86.30277972,390.2152285,42.77488997,464.9337828,2839.782865,1752.662197,2497.052397,3056.284298,729.4743987,5.732064103,0.41476633,0.077774196,123.4425708
Pakistan,PAK,1990,96562.78962,81050.0407,48793.65583,99122.19842,75606.00624,23916.8219,2105.329951,133603.7885,42387.69397,67727.61696,20946.6872,2662.225709,946.0248311,36719.7952,31839.78363,1579.134897,15171.2136,47601.63412,41351.92456,22047.71066,108839.7722,68605.8187,2138.894549,8037.52198,12150.46032,1975.518893
Pakistan,PAK,1995,61714.56505,49392.94935,32908.07482,111946.7963,90977.86207,14793.78266,1081.437603,91688.429,32817.99802,62917.6779,23579.55491,3703.589607,1374.56173,49812.24497,43094.62233,2008.738765,21244.15535,71158.46639,59395.96347,33287.13087,150841.9441,93048.89121,2540.080204,4454.34577,6176.923142,2713.57092
Pakistan,PAK,2000,48493.10744,36475.62075,25966.31973,115886.6869,101752.2047,10510.40647,718.0595172,72124.97028,23597.86217,59441.65418,25726.29731,4431.296443,1819.264572,58778.52818,50953.32624,2355.363707,25909.53413,91246.7691,73841.87311,44519.65614,179811.3459,115152.5174,2624.911619,3259.825412,4557.938285,3341.698323
Pakistan,PAK,2005,46278.55327,33350.15191,23156.31328,116762.5231,106059.9787,10386.89081,794.3144884,67364.95276,19276.21086,57915.59806,27070.3515,4607.249588,2614.825418,66811.43231,58264.5498,2576.993875,30161.29622,122632.466,87069.14383,69925.36404,206702.7775,127533.2121,2422.401139,2916.210539,3450.664137,6527.964745
Pakistan,PAK,2006,46788.52947,33483.07363,23236.57355,116352.3696,106695.1377,10821.00663,859.6599005,67136.82683,18761.83218,59029.04181,27456.51756,4545.996045,2833.624884,67443.37024,58967.04701,2600.634076,30601.13813,126032.6694,88469.73873,74122.72389,209426.8518,127068.6062,2413.137573,2913.640389,3204.865775,4069.991035
Pakistan,PAK,2010,52165.3986,36114.80303,25890.18453,120656.9919,110944.9869,12746.3799,1230.20939,66801.50501,15882.39642,62045.46776,28514.83369,4498.216646,3960.918353,71873.82329,62874.68807,2873.669333,33135.99526,145043.3714,95983.80069,93474.73658,224737.5543,126916.8443,2414.412586,3251.94182,1627.127553,4579.417662
Pakistan,PAK,2016,41159.51304,24765.35324,20166.7835,106421.7584,124576.6977,8719.202771,918.5932607,45207.04589,8389.106039,47254.7911,30085.4268,5214.187161,6088.868615,79449.58541,69963.86164,3657.70548,37382.02594,179061.5397,112797.4333,112460.2278,253754.8065,130873.8239,1982.260716,2063.68199,1069.720709,5197.193403
Palestine,PSE,1990,81.1444718,41.64024035,61.37352308,95.57402415,488.2652645,80.81643638,2.99315406,418.9681639,57.19362534,570.3863863,201.8785239,2.301835132,50.63103415,424.8756878,337.3506852,10.69791847,222.1146263,925.119352,857.2296185,932.3481988,1326.351937,692.2428255,23.37313609,15.22037922,14.97097975,10.7858609
